Product Category,Product Link,Name,New Price,Old Price,Discount,Image Source
Khas stores,http://yayvo.com/multi-stitched-1-pcs-shirt-kht-020.html,Multi Stitched 1 pcs Shirt KHT-020,"Rs.1,778","Rs.2,223",20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/5/9/595a35adabcdfc4aa6b141d5ac4e3ad4_3.jpg
Fashion Cafe,http://yayvo.com/ferozi-georgette-tunic-17646.html,Ferozi Georgette Tunic-17646,Rs.799,Rs.999,20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/0/00bdacb1c273709550249e4f82712f2e_1.jpg
Losha International,http://yayvo.com/double-layered-wirefree-bra-hollyhock.html,Double Layered Wirefree Bra - Hollyhock,"Rs.1,550",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/e/be5de8f2ae8d5cf5ef8290f92062eb55.jpg
Sitara,http://yayvo.com/green-stitched-floral-top-e038.html,Green Stitched Floral Top - E038,"Rs.2,163",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/b/abfc394363f5964d34037d792afabcfb.jpg
Regal Outfit,http://yayvo.com/pack-of-two-pakistan-chand-tara-print-couple-t-shirts.html,Pack of two Pakistan Chand Tara Print Couple t-Shirts,Rs.599,Rs.999,40%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/3/e394dd2c50945becfd0fa80141d84e2f_2.jpeg
SN Accessories,http://yayvo.com/new-plum-flower-butterfly-with-pearls-studs-earrings.html,New Plum Flower Butterfly With Pearls Studs Earrings,Rs.495,Rs.550,10%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/5/e5351ea35ee4379375a2a80cefbe518c.JPG
tomi,http://yayvo.com/tomi-t069-maroon-golden-leather-stylish-quartz-watch-for-womana-s.html,TOMI T069 Maroon & Golden Leather Stylish Quartz Watch For Womanâs,"Rs.1,350","Rs.2,700",50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/8/48f6dbcbc0f819c6cdc919540180368b_2.jpg
SN Accessories,http://yayvo.com/pretty-new-style-cute-flower-butterfly-studs-earring.html, Pretty New Style Cute Flower Butterfly Studs Earring,Rs.495,Rs.550,10%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/4/9/492331ddd897ba866a5ec2d1a1123478.JPG
Kureshi Collections,http://yayvo.com/silver-stainless-steel-bracelet-love-heart-lock-bangle-key-pendants-necklace.html,Silver Stainless Steel Bracelet Love Heart Lock Bangle Key Pendants Necklace,"Rs.1,499","Rs.1,999",25%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/c/4/c4fb7dee5c6b3a043900021ec4d99fdf.jpg
Everyday Wear,http://yayvo.com/features-br-fabric-cotton-br-comfortable-br-excellent-quality-br-good-shape-br-looks-hot-for-women-1184.html,Pack of 3 Roses Luxury Super Lady Cotton 2 Hooks Plain Bra Multicolour for Women,"Rs.1,399","Rs.1,678",17%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/8/7846302488e1a7154342d232a3bf49ab_2.jpg
U&I by Aneesa Unus,http://yayvo.com/cali-top-au002-d.html,Cali Top - AU002-D,"Rs.1,350","Rs.1,800",25%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/f/ff6f8358ece5464e201357c55e1b8ed8_5.JPG
GulAhmed,http://yayvo.com/green-unstitched-3-pcs-lawn-suit-tl-217-b-195663.html,Green Unstitched 2 pcs Lawn Suit-TL-217 B -195663,"Rs.2,795",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/7/b7051ee56b05425646f6eace2c8a1aaa_4.jpg
Fashion Boutique,http://yayvo.com/2018-women-sexy-mini-dress-nightwear.html,2018 Women Sexy Mini Dress Nightwear,"Rs.1,200",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/9/f917b33147868dfd68328daec4dcb62b_2_1.jpg
Zellbury,http://yayvo.com/pre-festive-unstitched-19-jacquard-3-pcs-suit-multi-color-zwusce319169.html,Pre Festive Unstitched '19-Jacquard-3 Pcs Suit-Multi Color-Zwusce319169,"Rs.3,490",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/3/9383e09c96f701f04020721acd86581c.jpg
Shopping Solutions,http://yayvo.com/crystal-zircon-rose-gold-pair-ring.html,Crystal Zircon Rose Gold Pair Ring,"Rs.1,199","Rs.1,999",40%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/c/1/c1c5c6bbe873bd665bc739f04857005b_1.JPG
Khas stores,http://yayvo.com/unstiched-3-pcs-linen-suit-klc-15012.html,Unstiched 3 Pcs Linen Suit KLC-15012,"Rs.4,199",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/9/b9c55f5bc66f9a7a67f118c21e104dce.jpg
Meeshas Collections,http://yayvo.com/black-synthetic-leather-handbag-for-women-4.html,Black Synthetic Leather Handbag For Women(Medium),"Rs.1,050",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/b/fb52ab8d82ffb8fe54ba12763a3830a1_2.jpg
Khas stores,http://yayvo.com/multi-stitched-1-pcs-shirt-kht-012.html,Multi Stitched 1 pcs Shirt KHT-012,"Rs.2,995","Rs.3,744",20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/6/b/6bc28495408975be247a2fae1b050fb7_3.jpg
Fashion Cafe,http://yayvo.com/multicolour-lawn-printed-kurti-with-dupatta-for-women-2-pcs-32.html,Multicolour Lawn Printed Kurti with Dupatta for Women - 2 Pcs,"Rs.1,299","Rs.1,699",24%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/2/b2ac67aeed40193afdde2f5af2b6638d.JPG
SN Accessories,http://yayvo.com/flowers-peacock-feathers-plumes-long-chain-pendant.html,Flowers Peacock Feathers Plumes Long Chain Pendant ,Rs.675,Rs.750,10%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/e/7ed3c826ae8f621b75423acc32ab821a.JPG
